Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Enfleurage – Technik; Technik; ; ; Enfleurage, Fett, Absorption, Glasplatte; Düfte und Aromen: Enfleurage; Eine gerahmte Glasplatte wird mit einer dünnen Schicht festem Fett (Kokosnussfett oder Schmalz) beschmiert, das botanische Material wird hineingedrückt und mehrere Tage darin gelassen. Das Fett absorbiert die flüchtigen Aromastoffe.
Zitrusöl waschen – Herstellung von wasserlöslichem Aroma; Technik; Zitrus; ; ätherisches Öl, Alkohol, Wasser, Scheidetrichter; Düfte und Aromen: Zitrusöl waschen; 1 Teil ätherisches Öl, 4 Teile destilliertes Wasser und 5 Teile reinen Alkohol im Scheidetrichter schütteln, trennen lassen. Das aromatisierte Wasser (Essenz) wird abgelassen – es ist wasserlöslich.
Ätherische Öle – Verdünnung für die Küche; Technik; ; ; 1:100, neutrales Öl, Ethanol; Düfte und Aromen: Essenzen verwenden; Essenzen werden normalerweise in Alkohol oder Öl verdünnt (1 g Essenz auf 100 g Träger) und mit einer Pipette entnommen. Ein einziger Tropfen kann einem Gericht eine neue Dimension verleihen.
Ätherische Öle – Sicherer Umgang; Sicherheitshinweis; ; ; entzündbar, kühl lagern, Hautreizung, Handschuhe; Düfte und Aromen: Sicherer Umgang; Ätherische Öle sind höchst flüchtig und entzündbar. Geschlossene Behälter im separaten Kühlschrank lagern. Unverdünnt können sie Haut reizen – Gummihandschuhe tragen. Nur lebensmittelechte Essenzen verwenden.
Tinktur (Alkoholextrakt) – Herstellung; Technik; ; ; Wodka, Ethanol, Sous-vide, infundieren; Geschmack extrahieren: Alkoholextrakte; Zutat mit neutralem Wodka vakuumieren und infundieren (Temperaturen von Kühlschrank bis 60°C). Dann abseihen. Die empfohlene Konzentration des Extrakts in Brühe/Sauce liegt bei 2–5%.
Fettinfusion – Sous-vide; Technik; ; ; neutrales Öl, Butter, vakuumieren, 55-90°C; Geschmack extrahieren: Fettinfusionen; Fettinfusionen werden sous-vide hergestellt (verhindert Oxidation). Nach der Infusion durch ein Sieb geben und gekühlt lagern. Kräuter müssen gründlich gewaschen und getrocknet sein (Botulismusrisiko).
Meeresfrüchtebutter – Rezept; Rezept; Krustentiere; ; Krustentierköpfe, Butterschmalz; Geschmack extrahieren: Beispiel; Krustentierköpfe, -körper und -schalen fein zerstößen, mit Butterschmalz vermengen (80% Butterschmalz), sous-vide garen, abseihen.
Chiliöl – Rezept; Rezept; ; ; Chipotle, Koriander, Sternanis, Zimt; Geschmack extrahieren: Beispiel; Traubenkernöl mit Chipotle-Chilis, gerösteten Koriandersamen, Muskatblüte, getrockneten roten Chilis, Sternanis, Zimt und Fenchelsamen vakuumieren, 24 h bei 70°C sous-vide garen, abseihen.
Saftgewinnung – Enzymatisch mit Pektinase; Technik; Obst, Gemüse; ; Pektinase, Zellwände, Ausbeute; Saft gewinnen: Enzyme; Pektinase-Enzyme spalten die zähen Polysaccharide in pflanzlichen Zellwänden. Die Behandlung macht hartfaserige Früchte (Äpfel, Birnen, Ananas) weich und steigert den Saftertrag drastisch.
Saftgewinnung – Osmose mit Zucker/Salz; Technik; Obst, Gemüse; ; Osmose, Zucker, Salz, Saft extrahieren; Saft gewinnen: Osmose; Bestreut man aufgeschnittene Zitrone mit Zucker oder Kohl mit Salz, migriert Saft durch die Zellwände und sammelt sich außen. Gut für Sauerkraut oder süße Säfte für Sorbet.
Saftgewinnung – Gefrieren; Technik; Obst; ; Gefrieren, Eiskristalle, Zellwände, Saftausbeute; Saft gewinnen: Gefrieren; Wenn Obst gefriert, durchbohren Eiskristalle die Zellwände. Beim Auftauen erscheint zuerst hoch konzentrierter Saft, dann weniger konzentrierter. Ideal für Himbeeren, Heidelbeeren.
Saft frisch halten – Kühlen; Technik; ; ; Kühlen, Enzyme, Aktivität halbiert pro 10°C; Saft gewinnen: Frisch halten; Bei jeder Absenkung der Temperatur um 10°C/18°F verringert sich die enzymatische Aktivität um die Hälfte. Früchte vor dem Entsaften bis knapp über den Gefrierpunkt kühlen.
Saft frisch halten – Ascorbinsäure; Technik; ; ; Vitamin C, Zitronensäure, 0,1-0,3%; Saft gewinnen: Frisch halten; Ascorbinsäure (0,1–0,3%) verhindert Bräunung und erhält die Farbe. Wirkt am besten mit Zitronensäure (0,5–2,0%). Honig (10% oder mehr) hat konservierende Wirkung.
Zentrifuge – Funktionsprinzip; Gerät; ; ; Zentrifugalkraft, Dichte, Trennung; Saft gewinnen: Zentrifuge; Die Zentrifuge schleudert Flüssigkeiten mit bis zu 60.000 Umdrehungen pro Minute (250.000 g). Dichtere Bestandteile sinken nach außen/unten, leichtere (Öle, Fette) steigen nach oben/innen – in wenigen Minuten statt in Stunden oder Tagen.
Zentrifuge – Tarieren; Technik; ; ; Gewicht, Rotor, Unwucht; Saft gewinnen: Zentrifuge; Jede Zentrifuge hat eine Toleranz für ungleiches Gewicht. Flaschen paarweise einander gegenüber anordnen. Das Gewicht jeder Flasche muss möglichst genau gleich sein – mit Wasser auffüllen oder abpipettieren.
Zentrifugierte Karotinbutter – Rezept; Rezept; Karotten; ; Karottensaft, Butter, zentrifugieren; Saft gewinnen: Beispiel; Karottensaft zum Köcheln bringen, Butter unterrühren, restlichen Saft zugeben, zentrifugieren (1 h bei 27.500 g), kühlen, feste Butterfettschicht abnehmen – klare, aromatische Karotinbutter.
Tomatenswasser – Rezept; Rezept; Tomaten; ; Tomaten, Salz, zentrifugieren; Saft gewinnen: Beispiel; Tomaten häuten, entkernen, hacken, mit Salz entsaften (Champion-Entsafter), zentrifugieren (1 h bei 27.500 g), dekantieren – kristallklares Tomatenwasser.
Zentrifugiertes Haselnussöl – Rezept; Rezept; Haselnüsse; ; Haselnüsse, Zucker, Wasser, zentrifugieren; Saft gewinnen: Beispiel; Haselnüsse rösten, mit Zucker und Wasser zu weicher Butter verarbeiten, Sirup einkochen, mischen, zentrifugieren (1 h bei 27.500 g), Öl dekantieren. Zuckersirup erhöht die Ausbeute.
Filtern – Methodenübersicht; Technik; ; ; Sieb, Vakuumfiltration, Druckfiltration, Schönen, Zentrifuge; Filtern: Methoden; Methoden im Überblick: feines Laborsieb (schnell, geringe Klärung), Zentrifuge (sehr gut, schnell, hoher Ertrag), Agar-Filtration (sehr gut, schnell, mäßiger Ertrag), Schönen mit Bentonit oder Enzymen (gut, langsam, hoher Ertrag).
Vakuumfiltration – Aufbau; Gerät; ; ; Nutsche, Saugflasche, Filterpapier, Vakuumpumpe; Filtern: Vakuumfiltration; Eine Nutsche (Trichter mit perforierter Platte) wird auf eine Saugflasche gesetzt, Filterpapier eingelegt. Die Vakuumpumpe erzeugt Unterdruck – die Flüssigkeit wird durch das Papier gesaugt, Feststoffe bleiben zurück.
Druckfiltration (Buon Vino); Gerät; ; ; Weinfilter, Elektropumpe, 2 bar, 1-2 Mikrometer; Filtern: Druckfiltration; Das Buon-Vino-Druckfiltersystem pumpt Flüssigkeit mit ca. 2 bar/30 psi durch hintereinander angeordnete Filterkissen (1–2 Mikrometer). Gut für pflanzliche Säfte, weniger für gelatinöse Fonds (verstopfen schnell).
Schönen – Definition; Technik; ; ; Schönungsmittel, Klärung, Proteine, Bentonit; Filtern: Schönen; Beim Schönen werden chemische Zusätze (Gelatine, Eiweiß, Bentonit, Polyclar, Enzyme) verwendet, um Trübstoffe zu binden und dann abzufiltrieren oder abzuschöpfen.
Klären mit Methylcellulose; Technik; ; ; Methylcellulose, Schaum, Fett binden, Consommé; Filtern: Schönen; Methylcellulose wird zu dichtem Schaum geschlagen, unter den Fond gehoben und erwärmt. Der Schaum bindet Fetttröpfchen, koaguliert und steigt an die Oberfläche – darunter entsteht klare Consommé (weniger Geschmacksverlust als mit Eiweiß).
Gelfiltration mit Agar (Ideas in Food); Technik; ; ; Agar, Synärese, Flüssiggel, Klärung; Filtern: Gelfiltration; Flüssigkeit mit Agar (ca. 1% des Volumens) in ein Gel verwandeln, dann mechanisch aufbrechen – das Gel scheidet Flüssigkeit ab (Synärese), die klar ist. Feststoffe bleiben im Gel zurück. Kein Gefrierschritt nötig.
Gefrierfiltration mit Gelatine; Technik; ; ; Gelatine, 1%, gefrieren, auftauen, Synärese; Filtern: Gefrierfiltration; 1% Gelatine (160 Bloom) in der Flüssigkeit auflösen, einfrieren. Den gefrorenen Block in einen Durchschlag mit Mull legen und im Kühlschrank auftauen. Die abtropfende Flüssigkeit ist geklärt. Dauert 24–48 Stunden.
Synärese – Definition; Glossar; ; ; Synärese, Gel, Flüssigkeit abscheiden; Filtern: Gelfiltration; Synärese bezeichnet die Tendenz von Gelen, Flüssigkeit abzuscheiden. In der Küche meist ein Problem – die Gelfiltrationstechnik nutzt dieses Phänomen gezielt zum Klären.
Consommé – Definition; Grundlagen; ; ; Consommé, kristallklar, Garnitur; Filtern: Consommé; Eine Consommé ist eine dünne, kristallklare Suppe. Klassisch wird sie durch Aufschäumen von Eiweiß in heißer Brühe geklärt. Moderne Methoden: Zentrifuge, Gefrierfiltration, Agar-Filtration, Methylcellulose.
Konzentrieren – Methodenübersicht; Technik; ; ; Reduktion, Vakuumreduktion, Rotavap, Gefrierkonzentration, Umkehrosmose; Konzentrieren: Methoden; Methoden: Reduktion auf dem Herd (einfach, langsam, Verlust flüchtiger Aromen), Vakuumreduktion (niedrige Temperatur, aber flüchtige Stoffe entweichen), Rotavap (flüchtige Aromen werden eingefangen), Gefrierkonzentration (keine Verdampfung, flüchtige Stoffe bleiben erhalten), Umkehrosmose (hoher Druck, Membran).
Vakuumreduktion – Aufbau; Technik; ; ; Saugflasche, Heizplatte, Magnetrührer, Vakuumpumpe; Konzentrieren: Vakuumreduktion; Eine Saugflasche mit der Flüssigkeit wird auf eine Heizplatte mit Magnetrührer gestellt, über einen Schlauch an eine Vakuumpumpe angeschlossen. Das Rührstäbchen erzeugt einen Wirbel, vergrößert die Oberfläche und beschleunigt die Verdampfung.
Vakuumreduktion – Temperatur; Physikalisches Prinzip; ; ; Siedepunkt, Druck, 35°C; Konzentrieren: Vakuumreduktion; Durch Absenken des Drucks sinkt der Siedepunkt von Wasser. Eine Wasserstrahlpumpe kann die Flüssigkeit auf etwa 35°C/95°F halten – auch bei einer 300°C heißen Platte. So bleiben wärmeempfindliche Aromen erhalten.
Rotationsverdampfer (Rotavap) – Funktionsweise; Gerät; ; ; Verdampfungskolben, Wasserbad, Kondensator, Vakuum; Konzentrieren: Rotavap; Der ballonförmige Verdampfungskolben rotiert in einem temperierten Wasserbad, um die Oberfläche zu vergrößern. Eine Vakuumpumpe senkt den Druck. Der Kondensator kühlt den Dampf – das Destillat wird im Sammelkolben aufgefangen.
Rotavap – Anwendung für Essenzen; Technik; ; ; Destillation, ätherische Öle, niedriger Siedepunkt; Konzentrieren: Rotavap; Der Rotationsverdampfer destilliert bei niedrigen Temperaturen (z.B. 35°C unter Vakuum). Er eignet sich hervorragend, um empfindliche ätherische Öle aus Zitrusschalen, Kräutern oder Gewürzen zu gewinnen – ohne die Aromen durch Hitze zu zerstören.
Rocket Evaporator (Genevac); Gerät; ; ; Vakuumkonzentration, Zentrifuge, Niedertemperatur; Konzentrieren: Rocket; Der Rocket kombiniert Vakuumkonzentration mit niedertouriger Zentrifugation (verhindert Siedeverzug) und präziser Temperaturregelung (bis 6 mbar/4,5 Torr). Kann bis zu sechs verschiedene Flüssigkeiten gleichzeitig konzentrieren.
