Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Modernistische Präzision – Abmessen wie beim Backen; Grundlagen; ; ; Präzision, Gramm, Geliermittel, Backen; Band 5: Über die Rezepte; Im Gegensatz zum traditionellen Kochen ("nach Geschmack") muss in der Modernist Cuisine sehr exakt gearbeitet werden, ähnlich wie beim Backen. Ein Hauch Geliermittel zu viel führt zu einem zähen, gummiartigen Endprodukt, zu wenig erzeugt nicht die gewünschte Gelbildung.
Modernist Cuisine – Zutaten und Ausstattung; Grundlagen; ; ; Xanthan, Natriumalginat, Gellan, Equipment; Band 5: Über die Rezepte; Der Großteil der Gerichte lässt sich mit Standard-Küchengeräten herstellen, Sous-vide sogar nur mit Topf, Herd und Thermometer. Spezielle Zutaten (Xanthan, Natriumalginat, Gellan, ätherische Öle) sind meist in gut sortierten Supermärkten, Reformhäusern, Asia-Shops oder online erhältlich.
Gewichte in Gramm statt Volumen; Grundlagen; ; ; Gramm, Präzision, Volumenmaße, Salz; Band 5: Über die Rezepte; Alle Zutaten werden in Gramm angegeben, sogar Wasser, da Volumenmaße oft nicht exakt genug sind. Bereits ein Gramm Geliermittel mehr pro Liter kann das Gericht verderben. Nur Salz wird meist "nach Geschmack" dosiert.
Küchenwaagen – zwei Modelle empfohlen; Equipment; ; ; Waage, Feinwaage, 0,01 g; Band 5: Über die Rezepte; Für modernistische Rezepte empfehlen sich zwei Waagen: ein normales Modell mit Skala bis 1000 Gramm oder mehr und eine Feinwaage, die bis 0,01 Gramm misst. Feinwaagen enden oft bei 100 Gramm.
Endmenge ist nicht die Summe der Zutatengewichte; Grundlagen; ; ; Endmenge, Verdampfung, Verschnitt; Band 5: Über die Rezepte; Die Endmenge eines Rezepts entspricht nicht automatisch der Summe der Zutatengewichte: Manches wird zurechtgeschnitten, manches verdampft, und nicht aufgelistete Zutaten (z. B. Einweichwasser in Trockenbohnen) spielen eine Rolle.
Temperaturpräzision – Faustregel; Faustregel; ; ; Temperatur, Präzision, niedrige Temperatur; Band 5: Über die Rezepte; Temperaturen werden in °C und °F angegeben. Faustregel: Je höher die Temperatur, desto weniger exakt muss sie sein, bei niedrigen Kochtemperaturen ist hohe Präzision gefordert.
Lachs mi-cuit – Temperaturführung; Technik; Fisch; ; Lachs mi-cuit, 40°C, halb gegart; Band 5: Über die Rezepte; Für Lachs mi-cuit ("halb gegart") muss in einer sehr schmalen Temperaturspanne gegart und 40 °C/104 °F nicht überschritten werden, damit der Fisch die Farbe von rohem Lachs behält.
Geliermittel – Temperaturgrenze; Grundlagen; ; ; Geliermittel, 85°C, Hitzegrenze; Band 5: Über die Rezepte; Viele Geliermittel wirken bis zu einer Temperatur von 85 °C/185 °F, versagen jedoch bei höheren Temperaturen.
Teigausbeute (Baker's Percentage); Grundlagen; ; ; Teigausbeute, TA, Referenzzutat, Prozent; Band 5: Über die Rezepte; Die Teigausbeute (TA) ist ein Bäckermaß: Eine Referenzzutat (meist die mit dem Hauptanteil) wird auf 100% gesetzt, alle anderen Mengen als Prozentanteil davon angegeben. Die Prozentzahlen ergeben zusammen nicht 100%.
Extraprozentangabe für stark wirksame Mittel; Technik; ; ; Extraprozent, Hydrokolloid, Gelatine, anpassen; Band 5: Über die Rezepte; Eine Extraprozentangabe (Prozent des Gesamtgewichts der weiteren Zutaten) erlaubt es, stark wirksame Mittel wie Gelatine korrekt nachzuberechnen, wenn Zutaten weggelassen oder hinzugefügt werden.
Küchensicherheit – Frittieröl und Flüssigstickstoff; Sicherheitshinweis; ; ; Sicherheit, Frittieröl 205°C, Flüssigstickstoff; Band 5: Über die Rezepte; Manche modernistischen Werkzeuge wie Flüssigstickstoff erfordern besondere Sicherheitsmaßnahmen. Auch Traditionelles ist heikel: auf 205 °C/400 °F erhitztes Frittieröl ist sehr feuergefährlich.
Hochrippe – zwei Muskeln; Fleischkunde; Rind; ; Longissimus dorsi, Spinalis dorsi, Hochrippendeckel; Band 5: Zartes Fleisch; Die Hochrippe besteht aus zwei Muskeln: dem Kernstück (Longissimus dorsi, "rundes Roastbeef") und dem Hochrippendeckel (Spinalis dorsi). Der Deckel ist sehr saftig und zart und wird am besten abgetrennt und separat wie ein Filet zubereitet.
