Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Grillen über Glut; Technik; ; ; Holzkohle, Glut, indirekt; Grillen: Geschichte; Grillen gelingt besser über der Glut eines erlöschenden Feuers als über lodernden Flammen.
Holzkohle – Eigenschaften; Materialkunde; ; ; Holzkohle, Wärmekontrolle, 30000 Jahre; Grillen: Holzkohle; Holzkohle ermöglicht dem Koch eine bessere Kontrolle über die Wärme als offene Flammen.
Kamineffekt beim Grill; Physikalisches Prinzip; ; ; Luftstrom, Hitzeintensität, Konvektion; Grillen: Physik; Flammen und heiße Kohlen erhitzen die umliegende Luft, die sich ausdehnt und Auftrieb erhält. Je stärker der Luftstrom, desto intensiver die Hitze.
Sauerstoffzufuhr beim Grill; Physikalisches Prinzip; ; ; Sauerstoff, Verbrennung, Temperaturregelung; Grillen: Physik; Mehr Luft lässt das Feuer schneller und heißer brennen, eine Drosselung der Luftzufuhr verlangsamt es und wirkt kühlend.
Hitze regulieren beim Holzkohlengrill; Technik; ; ; Luftzufuhr, Kohlen, Grillmeister; Grillen: Technik; Ein Meistergriller steigert die Hitze durch Zugabe von Luft (nicht durch mehr Kohlen) und reduziert sie durch Drosselung der Luftzufuhr.
Verzögerte Reaktion beim Grill; Faustregel; ; ; Kohlen, Abkühlung, Luftzufuhr; Grillen: Faustregel; Da sich heiße Kohlen langsam abkühlen, sollte die Luftzufuhr schon deutlich vor dem gewünschten Temperaturabfall umgestellt werden.
Wärmestrom beim Grill; Messgröße; ; ; BTU, Watt, Fläche; Grillen: Technik; Um Grills zu vergleichen, berechnet man den Wärmestrom: Leistung (BTU/h oder Watt) dividiert durch Grillfläche (in² oder cm²).
Holzkohle vs. Gas – Strahlungstemperatur; Materialkunde; ; ; Holzkohle, 1100°C, Gas, 1900°C, Strahlung; Grillen: Vergleich; Obwohl Gas heißer verbrennt, strahlt Holzkohleglut viel intensivere Wärmestrahlung ab als Gasgrills (außer Katalysatoröfen).
Wärmeübertragung beim Grill; Physikalisches Prinzip; ; ; Wärmestrahlung, Konvektion, Bräunung; Grillen: Physik; Das Fleisch wird nicht durch Heißluft, sondern durch intensive Wärmestrahlung schnell gebräunt.
Gasgrill – Umwandlung von Verbrennungswärme in Strahlung; Gerät/Eigenschaft; ; ; Lavasteine, Keramikplatten, Strahlung; Grillen: Technik; Gasgrills wandeln heiße Verbrennungsgase in Wärmestrahlung um, indem sie Flächen oberhalb der Flammen erhitzen. Diese strahlen jedoch weniger als glühende Holzkohle.
Typische Strahlungsleistung; Messgröße; ; ; 11 W/cm², 250 BTU/h·in², Holzkohlengrill; Grillen: Vergleich; Ein Holzkohlengrill schafft mühelos das Doppelte der Strahlungswärme eines Gasgrills.
