Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Räucheraroma – Guaiacol und Syringol; Aroma-Wissenschaft; ; ; Räuchern, Guaiacol, Syringol, Phenole, Lignin; Open Access: Molecules 2018 (CC BY, PMC6017423) + Aromachemie; Beim Verbrennen von Holz-Lignin entstehen Phenole. Guaiacol (2-Methoxyphenol) liefert vor allem den rauchigen Geschmack, Syringol (2,6-Dimethoxyphenol) den rauchigen Geruch. Zusammen mit ihren Derivaten machen sie rund 60 Prozent der Phenolfraktion im Holzrauch aus.
Räucherphenole – Geruchsspektrum; Aroma-Wissenschaft; ; ; Phenole, rauchig, holzig, Kreosot, aschig; Open Access: Molecules 2018 (CC BY, PMC6017423); Die mit Räucheraroma verbundenen Phenole reichen geruchlich von rauchig, holzig und würzig bis verbrannt, aschig, zedrig und kreosot- bzw. teerartig. Erst die Mischung ergibt ein rundes Räucheraroma; einzelne Phenole im Übermaß kippen ins Stechende.
Eugenol und 4-Methylguaiacol im Rauch; Aroma-Wissenschaft; ; ; Eugenol, 4-Methylguaiacol, Kresole, Nelke, würzig; Aromachemie (öffentliche Fakten); Neben Guaiacol und Syringol prägen 4-Methylguaiacol, Kresole und Eugenol (4-Allylguaiacol) das Räucheraroma. Eugenol bringt eine nelkenartig-würzige Note – ein Grund, warum leichter Rauch besonders gut mit würzigen Rubs harmoniert.
Kreosot – wann Rauch bitter wird; Technik; ; ; Kreosot, Rauch, bitter, Verbrennung, Luftzufuhr; Aromachemie (öffentliche Fakten); Holzrauch enthält bis zu rund 100 Verbindungen (Ruß, Kreosot, Asche, Phenole, Verbrennungsgase). Schwelender, sauerstoffarmer Rauch lagert mehr Kreosot ab und schmeckt bitter-stechend; eine saubere, heiße Verbrennung mit guter Luftzufuhr ergibt ein milderes, klareres Räucheraroma.
Lamm-Aroma – verzweigtkettige Fettsäuren; Aroma-Wissenschaft; Lamm; ; Lamm, Hammel, BCFA, 4-Methyloctansäure, muttony; Aromachemie / Schaf-Aroma-Reviews; Der arttypische Lamm- und Hammelgeschmack stammt vor allem von verzweigtkettigen Fettsäuren mit 8 bis 10 Kohlenstoffatomen: 4-Methyloctansäure (MOA), 4-Methylnonansäure (MNA) und 4-Ethyloctansäure (EOA). Sie erzeugen die schweißig-säuerliche muttony-Note.
Lamm – pastorale Note durch Skatol; Aroma-Wissenschaft; Lamm; ; Lamm, Skatol, 3-Methylindol, Indol, pastoral; Aromachemie / Schaf-Aroma-Reviews; Die pastorale, weideartige Note von Lamm geht auf 3-Methylindol (Skatol) und Indol zurück. Zusammen mit den verzweigtkettigen Fettsäuren bestimmen sie, wie intensiv schafig das Fleisch schmeckt.
Junges Lamm ist milder als Hammel; Fleischkunde; Lamm; ; Lamm, Alter, BCFA, mild, Hammel; Aromachemie / Schaf-Aroma-Reviews; Verzweigtkettige Fettsäuren sind bei Lämmern unter einem Jahr am niedrigsten, bei ein- bis zweijährigen Tieren mittel und bei über zwei Jahren am höchsten. Deshalb schmeckt junges Lamm milder, älteres Schaf deutlich muttoniger.
Lamm bändigen – Säure und Kräuter; Foodpairing; Lamm; ; Lamm, Pairing, Säure, Minze, Thymian, Talg; Aromachemie / Foodpairing-Prinzip; Die fettsäure- und skatolgetriebene muttony-Note lässt sich mit Säure und Kräutern ausbalancieren. Klassische Partner wie Minze, Rosmarin, Thymian, Zitrone und Joghurt setzen genau hier an und machen das Lamm zugänglicher.
Ebergeruch – Androstenon und Skatol; Fleischkunde; Schwein; ; Ebergeruch, Androstenon, Skatol, Eber, Fehlaroma; Aromachemie (öffentliche Fakten); Ebergeruch entsteht bei Fleisch unkastrierter, geschlechtsreifer Eber durch zwei Stoffe im Fett: Androstenon (ein Steroid, urinartig) und Skatol (ein Tryptophan-Abbauprodukt, fäkalartig). Beim Erhitzen treten die Fehlnoten besonders hervor.
Hähnchen-Aroma – 2,4-Decadienal; Aroma-Wissenschaft; Geflügel; ; Hähnchen, 2,4-Decadienal, Hexanal, fettig, Lipidoxidation; Open-Access-Review: Flavour Chemistry of Chicken Meat (PMC4093335) + Aromachemie; Der typische Hähnchen-Charakter wird stark von (E,E)-2,4-Decadienal geprägt (fleischig-fettig, sehr niedrige Geruchsschwelle), neben Hexanal (grasig). Beide sind Produkte der Lipidoxidation des Geflügelfetts.
Lactone im Hähnchen; Aroma-Wissenschaft; Geflügel; ; Hähnchen, Lactone, gamma, cremig, Alkylfurane; Open-Access-Review: Flavour Chemistry of Chicken Meat (PMC4093335); Gegartes Hähnchen enthält neben Aldehyden auch Lactone und Alkylfurane. Lactone (z. B. Gamma-Lactone) geben eine cremig-runde, leicht süßliche Tiefe – ein Grund, warum Hähnchenfett so rund schmeckt.
Fischgeruch – Trimethylamin; Aroma-Wissenschaft; Fisch; ; Fisch, Trimethylamin, TMA, Frische, Verderb; Open-Access-Review zu Fisch-Fehlaromen (PMC9407384) + Aromachemie; Trimethylamin (TMA) ist der Hauptstoff des fischigen Geruchs und steigt mit dem Verderb – es dient als Frischemarker. Sehr frischer Fisch riecht kaum fischig; der typische Fischgeruch ist bereits ein Alterungssignal.
Fisch – Alterungsaromen bei Eislagerung; Aroma-Wissenschaft; Fisch; ; Fisch, (Z)-4-Heptenal, Methional, Eislagerung, tranig; Open-Access-Review zu Fisch-Fehlaromen (PMC9407384) + Aromachemie; Während der Eislagerung steigen neben TMA auch (Z)-4-Heptenal, (Z)-1,5-Octadien-3-on und Methional. Zusammen ergeben sie die zunehmend tranig-fischige Note. Frischer Fisch und schnelle, durchgehende Kühlung halten diese Stoffe niedrig.
