Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Viskosität – Definition; Grundlagen; ; ; Viskosität, Scherkraft, Fließverhalten; Kapitel 13: Verdickungsmittel; Viskosität ist der Widerstand eines Fluids gegen die Scherkraft – das Maß, wie leicht eine Flüssigkeit fließt.
Viskosität von Wasser; Messgröße; Wasser; ; 1 cP, 20°C; Kapitel 13: Verdickungsmittel; Wasser hat bei 20°C/68°C eine Viskosität von 1 cP (Centipoise).
Temperaturabhängigkeit der Viskosität; Physikalisches Prinzip; ; ; Viskosität, Temperatur, niedriger bei Hitze; Kapitel 13: Verdickungsmittel; Bei fast allen Fluids verringert sich die Viskosität bei höheren Temperaturen – Honig wird bei Erwärmung dünnflüssiger.
Newton'sche Flüssigkeiten; Grundlagen; ; ; Newton'sche Flüssigkeit, Scherkraft; Kapitel 13: Verdickungsmittel; Newton'sche Flüssigkeiten fließen umso schneller, je mehr Scherkraft angewandt wird – die meisten Flüssigkeiten verhalten sich so.
Nichtnewtonsche Flüssigkeiten – strukturviskos; Grundlagen; ; ; strukturviskos, Ketchup, Flüssiggel; Kapitel 13: Verdickungsmittel; Strukturviskose Fluids benötigen eine bestimmte Krafteinwirkung, um in Bewegung zu kommen – wenn sie fließen, bewegen sie sich leichter. Beispiel: Ketchup.
Verdickung durch kolloidale Suspension; Technik; ; ; Kolloid, Suspension, Feststoffteilchen; Kapitel 13: Wie Verdicken funktioniert; Eine Flüssigkeit, die Feststoffe enthält, bezeichnet man als kolloidale Suspension. Die Feststoffteilchen stoßen aneinander, behindern ihre Bewegung und erhöhen die Viskosität.
Sterische Hinderung; Physikalisches Prinzip; ; ; sterische Hinderung, Polymerketten, Moleküle; Kapitel 13: Wie Verdicken funktioniert; Wenn Moleküle sich vorübergehend verhaken oder zu Clustern verbinden, wird die Flüssigkeit dicker – dies nennt man sterische Hinderung.
Hydrokolloide – Definition; Grundlagen; ; ; Hydrokolloid, Polymerketten, Gummis; Kapitel 13: Wie Verdicken funktioniert; Hydrokolloide sind Stoffe, die sich im Wasser zu langen Polymerketten verbinden und so die Molekülbewegung hemmen – dazu zählen Stärken, Pflanzengummis und Gelatine.
Stärke – Aufbau; Grundlagen; ; ; Amylose, Amylopektin, Polymer, Glukose; Kapitel 13: Stärken; Stärken bestehen aus zwei Polymertypen: Amylose (langkettig, guter Gelbildner) und Amylopektin (astförmig verzweigt, bindet besser Wasser und dickt ein).
Stärke – Gelatinierung (Verkleisterung); Technik; ; ; Gelatinierung, Verkleisterung, Hitze; Kapitel 13: Stärken; Native Stärken müssen erhitzt werden, um zu gelatinieren. Die Molekülverbindungen werden aufgebrochen, Wasser dringt ein – die Flüssigkeit dickt ein.
Dispersion von Stärke – Klümpchen vermeiden; Technik; ; ; Dispersion, Klümpchen, Hydratisierung; Kapitel 13: Stärken; Stärkekörner müssen zunächst fein verteilt (dispergiert) und dann kontrolliert Wasser absorbieren (hydratisiert) werden – sonst bilden sich Klümpchen.
Prägelatinierte Stärken (Instantstärken); Zutat; ; ; Instantstärke, prägelatiniert, Wondra, Ultra-Sperse; Kapitel 13: Stärken; Modifizierte Stärken wurden bereits vorbehandelt (prägelatiniert) und dicken sofort ein, ohne Erhitzen – z.B. Wondra, Ultra-Sperse 3, Ultra-Tex 8.
N-Zorbit M – Eigenschaft; Zutat; ; ; N-Zorbit, Tapiokastärke, Ölabsorption; Kapitel 13: N-Zorbit; N-Zorbit ist eine modifizierte Tapiokastärke, deren Oberfläche so stark aufgeraut ist, dass kleinste Öltröpfchen daran hängen bleiben – Öl scheint im Pulver zu verschwinden.
Xanthan – Universalverdicker; Zutat; ; ; Xanthan, Verdicker, Emulgator, Stabilisator; Kapitel 13: Hydrokolloide; Xanthan ist eines der vielseitigsten Verdickungsmittel überhaupt. Es ist in sehr niedriger Konzentration (0,1-0,5%) wirksam, geschmacksneutral, pH-stabil und kaltlöslich.
Hydrokolloide – Hydratisierung; Technik; ; ; Hydratisierung, Temperatur, Quellen; Kapitel 13: Hydrokolloide; Hydrokolloide müssen hydratisiert werden – die einzelnen Moleküle werden aufgespalten, quellen und lösen sich auf. Die benötigte Temperatur variiert je nach Mittel.
Gel – Definition; Grundlagen; ; ; Gel, Gelbildung, Polymernetzwerk; Kapitel 14: Gele; Ein Gel entsteht, wenn sich lange Molekülketten (Polymere) ineinander verschlingen und ein dreidimensionales Netzwerk bilden, in dem Wassermoleküle gebunden werden.
Thermoreversible vs. thermoirreversible Gele; Grundlagen; ; ; thermoreversibel, thermoirreversibel, schmilzt, verfestigt; Kapitel 14: Gele; Thermoreversible Gele schmelzen bei Hitze und verfestigen sich bei Kühlung (z.B. Gelatine). Thermoirreversible Gele verfestigen sich bei Hitze und schmelzen nicht (z.B. Eier).
Gelatine – Bloom-Stärke; Messgröße; ; ; Bloom, Gelierkraft, Maßeinheit; Kapitel 14: Gele; Bloom ist die Maßeinheit für die Steifheit eines Gels. Je höher die Bloom-Zahl, desto stärker ist die Gelierkraft (z.B. Gold: 190-220 Bloom, Platin: 235-265 Bloom).
Agar-Agar – Eigenschaften; Zutat; ; ; Agar-Agar, Algen, hitzestabil, spröde; Kapitel 14: Gele; Agar-Agar wird aus Algen gewonnen, ist hitzestabil bis ca. 85°C, bildet spröde Gele und wird in Asien seit Jahrhunderten verwendet.
Ei – Geliertemperatur von Eiweiß vs. Eigelb; Messgröße; Eier; ; Eiweiß, Eigelb, Gelierung, Temperatur; Kapitel 14: Eiergele; Eiweiß geliert bei geringerer Temperatur als Eigelb – Eiweiß wird bei jeder Gartemperatur fester als das Eigelb.
Ei – Texturtabelle (Temperatur vs. Konsistenz); Messgröße; Eier; ; Onsen-Ei, 60°C, 64°C, 74°C; Kapitel 14: Eiergele; Bei 60°C ist das Eiweiß pasteurisiert, das Eigelb flüssig. Bei 62-68°C entsteht ein Onsen-Ei (japanisches Langsam-Ei). Bei 74°C ist das Eigelb gestockt (hart gekocht).
Ei – weich gekochtes Ei (Zweischrittverfahren); Technik; Eier; ; weich gekocht, Zweischritt, 1-3 min kochen, dann Wasserbad; Kapitel 14: Eiergele; Das Ei wird 1-3 min in kochendes Wasser getaucht (schält leichter, Eiweiß stockt), dann im Wasserbad bei 64°C/147°F gegart, bis das Eigelb die gewünschte Konsistenz hat.
Tausendjährige Eier; Technik; Eier; ; Tausendjährige Eier, Lauge, pH 9-12, Maillard; Kapitel 14: Eiergele; Enteneier werden 20 Tage in einer Lauge aus Wasser, Salz und Natriumhydroxid vakuumiert, dann 2 Tage in frisches Wasser gelegt und 5 Tage luftgetrocknet – der hohe pH-Wert (9-12) bewirkt eine Maillard-Bräunung.
Sphärifikation – Prinzip; Technik; ; ; Sphärifikation, Alginat, Calcium, Gelkugel; Kapitel 14: Sphärifikation; Bei der Sphärifikation wird eine Alginat-haltige Flüssigkeit in ein Calciumbad getropft – die Oberfläche geliert sofort, der Kern bleibt flüssig. Entsteht eine Kugel mit flüssigem Kern.
Umgekehrte Sphärifikation; Technik; ; ; umgekehrte Sphärifikation, Calcium in Flüssigkeit, Alginat im Bad; Kapitel 14: Sphärifikation; Bei der umgekehrten Sphärifikation enthält die zu sphärisierende Flüssigkeit Calcium, das Bad enthält Alginat. Der Kern bleibt immer flüssig – Vorteil gegenüber der direkten Methode.
Emulsion – Definition; Grundlagen; ; ; Emulsion, Öl-in-Wasser, Wasser-in-Öl; Kapitel 15: Emulsionen; Eine Emulsion ist eine Mischung aus zwei nicht mischbaren Flüssigkeiten (z.B. Öl und Wasser), bei der die eine Flüssigkeit in der anderen fein verteilt ist.
Öl-in-Wasser-Emulsion (O/W); Grundlagen; ; ; O/W, Mayonnaise, Milch, Sahne; Kapitel 15: Emulsionen; O/W-Emulsionen haben Wasser als kontinuierliche Phase, Öl als disperse Phase – Beispiele: Milch, Sahne, Mayonnaise.
Wasser-in-Öl-Emulsion (W/O); Grundlagen; ; ; W/O, Butter, Margarine; Kapitel 15: Emulsionen; W/O-Emulsionen haben Öl als kontinuierliche Phase, Wasser als disperse Phase – Beispiel: Butter.
Emulgator – Funktion; Grundlagen; ; ; Emulgator, Tensid, Stabilisierung; Kapitel 15: Emulgierung; Ein Emulgator stabilisiert eine Emulsion, indem er sich an die Grenzfläche zwischen Öl und Wasser setzt und das Zusammenfließen der Tröpfchen verhindert.
Lecithin – Emulgator in Eigelb; Zutat; Eigelb; ; Lecithin, Eigelb, Emulgator; Kapitel 15: Emulgierung; Eigelb ist reich an Lecithin, einem ausgezeichneten natürlichen Emulgator für Mayonnaise, Hollandaise und andere Saucen.
HLB-Wert (hydrophilic-lipophilic balance); Messgröße; ; ; HLB-Wert, Tensid, 0-20; Kapitel 15: Chemie; Der HLB-Wert (0-20) gibt das Verhältnis von hydrophilem (wasserliebendem) zu lipophilem (ölliebendem) Anteil eines Tensids an – Werte 4-6 für W/O-Emulsionen, 8-18 für O/W-Emulsionen.
Bancroft-Regel; Physikalisches Prinzip; ; ; Bancroft-Regel, Emulsionstyp, Löslichkeit; Kapitel 15: Wissenschaft; Die Bancroft-Regel besagt: Für eine O/W-Emulsion einen Emulgator verwenden, der besser in Wasser löslich ist; für eine W/O-Emulsion einen besser in Öl löslichen Emulgator.
Mikroemulsion vs. Nanoemulsion; Grundlagen; ; ; Mikroemulsion, Nanoemulsion, Tröpfchengröße; Kapitel 15: Wissenschaft; Mikroemulsionen (5-50 nm) sind thermodynamisch stabil und transparent. Nanoemulsionen (20-100 nm) sind metastabil und ebenfalls transparent (z.B. Mountain Dew).
Phaseninversion (O/W zu W/O); Technik; Sahne; ; Phaseninversion, Butter, Schlagsahne; Kapitel 15: Emulgierungsmethoden; Schlagsahne (O/W-Emulsion) wird durch mechanische Bearbeitung bei geeigneter Temperatur zu Butter (W/O-Emulsion) – dies nennt man Phaseninversion.
Schmelzkäse – Emulsionsstabilisierung mit Natriumcitrat; Technik; Käse; ; Schmelzkäse, Natriumcitrat, Emulsion; Kapitel 15: Schmelzkäse; Die Zugabe von Natriumcitrat (Schmelzsalz) stabilisiert die Emulsion von geschmolzenem Käse – verhindert die Trennung in Fett und Proteinmasse.
Schaum – Definition; Grundlagen; ; ; Schaum, Gas-in-Wasser, G/W-Emulsion; Kapitel 16: Schäume; Ein Schaum ist eine Gas-in-Wasser-Emulsion (G/W), bei der Gasblasen in einer kontinuierlichen flüssigen Phase eingeschlossen sind.
Schaumstabilisierung durch Fett (Schlagsahne); Technik; Sahne; ; Schlagsahne, Fettkristalle, Blasenstabilisierung; Kapitel 16: Schäume; Beim Schlagen von Sahne lagern sich halbfeste Fetttröpfchen an der Oberfläche der Luftblasen an, bilden ein Netzwerk und stabilisieren den Schaum.
Schaumstabilisierung durch Protein (Milchschaum); Technik; Milch; ; Milchschaum, Proteine, Denaturierung, Caffè Latte; Kapitel 16: Schäume; Heißer Wasserdampf denaturiert teilweise die Proteinmoleküle in der Milch – sie umlagern die Luftblasen und verfestigen sich zu einem stabilen, hautartigen Gel.
Siphon – Schaumerzeugung mit Distickstoffoxid; Gerät; ; ; Sahnesiphon, N2O, Distickstoffoxid; Kapitel 16: Schäume bilden; Ein Sahnesiphon wird mit Distickstoffoxid (N2O)-Kapseln geladen. N2O löst sich gut in Fett, daher schäumen fetthaltige Flüssigkeiten besonders gut.
Schaum – Destabilisierung durch Fett (Bierschaum); Grundlagen; ; ; Fett, Schaumhemmer, Bierschaum; Kapitel 16: Schaumhemmer; Fett zerstört proteinstabilisierte Schäume (z.B. Bierschaum, Eischnee) – deshalb sollte kein Fett in die Schüssel gelangen, wenn man Eiweiß schlägt.
Schaum – Vakuumschäumen; Technik; ; ; Vakuumschäumen, Unterdruck, Blasenexpansion; Kapitel 16: Schäume bilden; Vakuumschäumen nutzt Unterdruck: Gelöste Gase in der Flüssigkeit strömen blasenförmig aus, wenn der Druck sinkt – die Blasen expandieren stark.
Baiser – Instant-Baiser aus dem Siphon; Technik; Eiweiß; ; Baiser, Siphon, sous-vide, 74°C; Kapitel 16: Beispiele; Eiweiß und Zucker werden vakuumiert, 30 min bei 74°C im Wasserbad pasteurisiert, dann in einen Siphon gefüllt und mit 4 N2O-Kapseln aufgeschäumt – ergibt sofort verwendbare Baisermasse.
Puff-Snacks – Prinzip (gepuffte Schäume); Technik; Getreide, Stärke; ; gepufft, Dehydratisierung, Restfeuchte, Frittieren; Kapitel 16: Puff-Snacks; Dehydratisierte Stärkegele (Restfeuchte ca. 15%) werden frittiert – das Restwasser verdampft schlagartig, expandiert und verwandelt das Gel in einen festen Schaum.
Kaffee – optimale Brühtemperatur; Messgröße; Kaffee; ; Brühtemperatur, 93°C, 91-96°C; Kapitel 18: Brühen; Die bevorzugte Brühtemperatur für die meisten Kaffeezubereitungen beträgt 93°C/199°F. Der Bereich von 91-96°C/196-205°F ist geeignet.
Kaffee – Extraktionsrate (18-22%); Messgröße; Kaffee; ; Extraktion, 18-22%, Brewing Control Chart; Kapitel 18: Brühen; Im Idealfall werden 18-22% der löslichen Bestandteile des Kaffees extrahiert – das ergibt einen aromatischen, ausgewogenen Kaffee.
Espresso – Brühparameter; Technik; Espresso; ; Espresso, 9 bar, 85-96°C, 18-35 s; Kapitel 18: Espresso; Espresso wird unter 8-10 bar Druck mit Wasser von 85-96°C in 18-35 Sekunden extrahiert – die Kaffeemenge beträgt 7-21 g, die Flüssigkeitsmenge 15-45 ml.
Espresso – Mahlgrad entscheidend; Technik; Espresso; ; Mahlgrad, Durchlaufzeit, Extraktion; Kapitel 18: Espresso; Bei der Espressozubereitung ist der Mahlgrad die wichtigste Variable – zu grob: zu schnelle Extraktion (sauer); zu fein: zu langsame Extraktion (bitter).
Espresso – Crema; Grundlagen; Espresso; ; Crema, Kohlendioxid, Melanoidine; Kapitel 18: Espresso; Die Crema entsteht, wenn gelöstes CO2 aus dem Kaffee beim Verlassen des Siebträgers schlagartig entweicht – die feinen Bläschen werden durch Melanoidine stabilisiert.
Espresso – Tigerstreifen und Blondieren; Technik; Espresso; ; Tigerstreifen, Blondieren, Extraktionsphase; Kapitel 18: Espresso; In der Mittelphase der Extraktion zeigt der Espressostrahl braun-rostrote „Tigerstreifen“. Am Ende wird der Strahl hell (Blondieren) – dann wird der Kaffee bitter.
Milchschaum – Mikroschaum; Technik; Milch; ; Mikroschaum, feinporig, glänzend; Kapitel 18: Kunstwerke aus Milch und Kaffee; Perfekter Milchschaum besteht aus feinsten, glänzenden Mikrobläschen – grobporiger Schaum mit großen Blasen ist unerwünscht.
Latte Art – Rosette; Technik; Milch, Espresso; ; Latte Art, Rosette, freies Eingießen; Kapitel 18: Kunstwerke aus Milch und Kaffee; Die Rosette ist ein beliebtes Latte-Art-Motiv: Milchschaum wird in Zickzack-Bewegung in den Espresso gegossen, dann ein Mittelsteg durchgezogen.
Kaffee – Kalt extrahierter Kaffee (Toddy); Technik; Kaffee; ; Kaltextraktion, Toddy, 12 h, weniger Säure; Kapitel 18: Brühen; Kalt extrahierter Kaffee wird mit kaltem Wasser über 12 Stunden zubereitet – er ist weniger sauer, süßer und milder. Das Konzentrat hält sich gekühlt bis zu zwei Wochen.
Kaffeeröstung – erste und zweite Crack-Phase; Technik; Kaffee; ; Röstung, erster Crack, zweiter Crack; Kapitel 18: Von der Kirsche zur Bohne; Erster Crack bei 150-180°C (Bohnen knacken, verdoppeln Größe). Zweiter Crack (weniger heftig) bei höherer Temperatur – danach treten Öle an die Oberfläche.
Kopi Luwak; Zutat; Kaffee; ; Kopi Luwak, Fleckenmusang, Fermentation; Kapitel 18: Von der Kirsche zur Bohne; Kopi Luwak ist Kaffee aus Bohnen, die von Fleckenmusangs gefressen und wieder ausgeschieden wurden – die Verdauungsenzyme spalten bittere Proteine, der Kaffee wird süßer und kostet bis zu 600 Dollar pro Pfund.
