Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Pacojet – Funktionsweise; Gerät; ; ; Pacossieren, gefroren, Messer, 2000 rpm, 2 Mikrometer; Zerkleinern: Pacojet; Der Pacojet fräst gefrorene Nahrungsmittel bei 2000 Umdrehungen pro Minute ab, während Luftstrahlen (1,7 bar) die gefrorene Masse zusätzlich zerkleinern. Das Ergebnis sind Partikel von nur 2 Mikrometer Durchmesser.
Pacojet – Anwendungen; Technik; ; ; gefrorenes Pulver, Eiscreme, Sorbet, Püree; Zerkleinern: Pacojet; Der Pacojet kann trockene gefrorene Pulver (z.B. für Gewürze, Kräuter) oder cremige Eiscreme/Sorbet herstellen – je nach Gefrierpunkt der Mischung. Auch herzhafte Pürees für Saucen und Suppen sind möglich.
Pacossieren – Portionierung; Technik; ; ; 100 ml-Portionen, Becher, Skala; Zerkleinern: Pacojet; Die Pacossierkammer ist in Portionen von 100 ml/3,5 oz unterteilt. Nach dem Pacossieren einer Portion kann der Rest im Becher im Gefrierschrank verbleiben. Das Volumen expandiert auf 125–135 ml.
Mozzarella-Pulver – Rezept; Rezept; Mozzarella; ; Mozzarella, Lake, Glucose, pacossieren; Zerkleinern: Beispiel; Büffelmozzarella würfeln, Glucose in der Lake auflösen, mit Mozzarella mixen, in Pacojet-Becher füllen, auf mind. -20°C kühlen, einmal ohne Entlüftung pacossieren. Ergibt ein feines, gefrorenes Pulver.
Pacojet-Erbsensuppe – Rezept; Rezept; Erbsen; ; Erbsen, Crème double, pacossieren; Zerkleinern: Beispiel; Tiefgefrorene Erbsen mit Crème double und zentrifugiertem Erbsensaft in Pacojet-Becher füllen, auf mind. -20°C kühlen, einmal pacossieren. Suppe in einen Topf geben und erhitzen, bis sie soeben aufgetaut und samtig ist – bei ≤60°C servieren (bleibt süß).
Rotor-Stator-Homogenisator – Funktionsweise; Gerät; ; ; Rotor, Stator, Spalt 25 µm, Scherkräfte; Zerkleinern: Rotor-Stator; Der Rotor dreht sich mit bis zu 20.000 rpm im stationären Stator. Der Spalt zwischen beiden beträgt nur 25 µm. Die Flüssigkeit wird durch diesen engen Spalt gezwungen – enorme hydraulische Scherkräfte zerreißen Partikel.
Rotor-Stator-Homogenisator – Anwendung; Technik; ; ; 10 Mikrometer, Emulsion, Püree; Zerkleinern: Rotor-Stator; Ein Rotor-Stator-Homogenisator erzeugt Partikel unter 10 Mikrometer – weit unter der Wahrnehmbarkeitsschwelle der Zunge. Ideal für superfeine Pürees und sehr stabile Emulsionen.
Kolloidmühle – Funktionsweise; Gerät; ; ; Rotor-Stator, Zähne, einstellbarer Spalt, Wasserkühlung; Zerkleinern: Kolloidmühle; Eine Kolloidmühle zwingt das gesamte Material durch einen Rotor-Stator mit mehreren Zahnreihen. Der Spalt ist einstellbar. Eine Wasserkühlung verhindert Überhitzung. Kann selbst zähe Pasten (Erdnussbutter) zu Partikeln unter 2 Mikrometer mahlen.
Ultraschall-Homogenisator – Funktionsweise; Gerät; ; ; Kavitation, Ultraschall, Horn, 20 kHz; Zerkleinern: Ultraschall; Ein Ultraschall-Homogenisator erzeugt Schwingungen (>20 kHz) in einem Titanzylinder (Horn). Die Schwingungen verursachen Kavitationsblasen – deren Implosion zerreißt Partikel und Öltröpfchen auf unter 1–2 Mikrometer.
Nussbutter – Herstellung mit Kolloidmühle; Technik; Nüsse; ; Kolloidmühle, mehrere Durchgänge, Spalt verkleinern; Zerkleinern: So geht's; Nüsse in den Fülltrichter geben, durch die Mühle laufen lassen. Den Vorgang wiederholen, dabei den Mahlspalt vor jedem Durchgang verkleinern. Vier Durchgänge ergeben eine seidig-glatter Nussbutter.
